SEX,AGE,ISO,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
F,15-74,BG,8.4,7.0,6.0,4.7,3.8,4.7,4.9,3.9,4.2,3.9
F,15-74,CH,4.9,5.0,5.1,5.1,4.7,5.0,5.3,4.4,4.3,4.6
F,15-74,CY,14.8,13.4,11.3,8.8,7.7,7.5,7.3,6.8,5.9,5.1
F,15-74,CZ,6.1,4.7,3.6,2.8,2.4,3.0,3.4,2.8,3.1,3.0
F,15-74,DE,4.2,3.8,3.3,2.9,2.7,3.4,3.2,2.9,2.8,3.1
F,15-74,DK,6.5,6.4,6.1,5.3,5.3,6.0,5.2,4.5,5.3,6.5
F,15-74,EE,6.3,6.2,5.2,5.3,4.9,6.8,5.6,5.1,6.7,7.5
F,15-74,GR,28.9,28.1,26.1,24.2,21.5,19.8,18.9,16.4,14.3,12.8
F,15-74,ES,23.6,21.4,19.0,17.0,16.0,17.4,16.8,14.9,13.9,12.7
F,15-74,FI,8.8,8.6,8.4,7.3,6.2,7.5,7.1,6.4,6.5,7.6
F,15-74,FR,9.9,9.9,9.4,9.1,8.4,8.0,7.8,7.1,7.2,7.2
F,15-74,HR,17.0,13.7,11.8,9.3,7.1,7.5,8.0,7.9,6.7,5.0
F,15-74,HU,7.0,5.1,4.6,3.9,3.5,4.4,4.2,3.5,4.2,4.4
F,15-74,IE,8.9,7.6,6.3,5.7,4.7,5.7,6.1,4.6,4.2,4.3
F,15-74,IS,4.1,3.0,2.7,2.5,3.1,5.3,6.4,3.4,3.1,3.3
F,15-74,IT,12.7,12.8,12.4,11.7,11.0,10.2,10.6,9.4,8.8,7.3
F,15-74,LT,8.2,6.7,5.7,5.4,5.5,7.7,6.6,5.5,6.4,6.5
F,15-74,LU,7.4,6.6,5.5,5.9,5.5,7.0,5.6,4.7,5.4,6.3
F,15-74,LV,8.6,8.4,7.7,6.4,5.4,7.1,6.6,5.6,5.4,5.8
F,15-74,ME,17.3,17.1,17.0,15.1,15.7,18.4,NaN,NaN,NaN,NaN
F,15-74,MK,25.1,22.8,21.8,19.9,18.4,15.9,13.7,12.5,11.4,11.0
F,15-74,MT,5.4,5.2,4.3,3.7,4.7,5.1,3.6,3.1,3.2,3.0
F,15-74,NL,7.3,6.5,5.3,4.0,3.4,4.0,4.5,3.8,3.8,3.8
F,15-74,NO,4.0,3.9,3.7,3.5,3.4,4.1,4.2,3.1,3.5,3.8
F,15-74,PL,7.7,6.2,4.9,3.9,3.5,3.3,3.4,2.9,2.9,3.1
